会社名,URL,結果,入力項目数,スキップ項目数,入力詳細,エラー
"株式会社センタード (CENTERED CO.,,失敗,0,0,,iframe内フォーム
株式会社SGP,https://sgp-net.com/contact/,成功,5,1,,
メディアクロス株式会社,https://medi-cro.jp/contact/,成功,12,1,,
株式会社MATES,https://mates-promo.com/contact/,成功,6,0,,
株式会社アドクルー,https://www.adcrew.jp/inquiry/,失敗,0,0,,iframe内フォーム
合同会社ロケットボーイズ,https://rocket-boys.co.jp/contact/,成功,8,1,,
UNiDigi（株式会社エヌケービー）,https://nkb.unidigi-exp.com/nkb.co.jp/contact,成功,9,0,,
株式会社アイエムシー,https://ubimc.com/contact/,成功,6,5,,
株式会社ウィルビー,https://willbe-inc.co.jp/contact/,失敗,0,0,,フォーム実装エラー
株式会社ネイビーグループ,https://navygroup.co.jp/contact/,成功,6,0,,
Plastant株式会社,https://plastant.com/contact/,成功,5,0,,
ハマナス株式会社,https://www.hermanus.co.jp/contact,成功,7,6,,
リードプラス株式会社,https://www.leadplus.co.jp/inquiry,成功,12,0,,
NERD株式会社,https://nerd.co.jp/contact,成功,6,19,,
snuggle株式会社,https://snuggle-inc.co.jp/contact/,成功,4,0,,
b.mode株式会社,https://www.b-mode.info/contact/,成功,8,0,,
株式会社SPC,https://spc-jpn.co.jp/contact/,成功,6,2,,
株式会社ロットネスト,https://lottnest.com/contact/,失敗,0,0,,iframe内フォーム
株式会社フォーティファイヴ,https://www.0450.jp/contact,成功,0,40,,
株式会社LINPS,https://linps.co.jp/contact,成功,11,33,,
株式会社エフェクトプロ,https://effect-pro.co.jp/contact,失敗,0,0,,iframe内フォーム
株式会社ママクリエイターラボ,https://mama-creator.com/business#contact,成功,5,26,,
オープンキッズベース株式会社,https://www.openkidsbase.co.jp/contact/,成功,9,1,,
株式会社グローバルマーケティング,https://gl-marketing.co.jp/contact/,成功,9,1,,
株式会社toU,https://tooou.co.jp/contact,成功,8,0,,
Zokujin合同会社,https://zokujin.com/contact/,成功,7,0,,
株式会社コロンバスプロジェクト,https://www.columbusproject.co.jp/contact/,成功,6,0,,
株式会社読売千葉広告社,https://www.yomiuri-adc.co.jp/contactus/,成功,6,0,,
株式会社TONOSAMA,https://tono-sama.net/contact/,成功,7,0,,
株式会社 オーエス,https://oscorporation.com/inquiry/contact/,成功,12,0,,
株式会社M＆C,https://mandc.tokyo/contact,成功,6,0,,
FAST BPO株式会社,https://www.fastbpo.co.jp/contact-6,成功,5,0,,
SugarBeats株式会社,https://sugarbeats.co.jp/contact/,成功,5,0,,
株式会社バースタイプ,https://verse-type.co.jp/contact/,成功,6,1,,
株式会社Experience,https://ai-cmo.co.jp/service-contact/,失敗,0,0,,送信ボタンなし
株式会社日テレWands,https://ad.ntv-wands.co.jp/movie#contact,成功,0,0,,
株式会社Leading Communication,https://www.le-commu.co.jp/contact/,失敗,0,0,,iframe内フォーム
株式会社AppleTea,https://appletea.tokyo/#contact,成功,3,0,,
Bancor株式会社,https://www.bancor.co.jp/contact,成功,0,21,,
株式会社CCG C.REP,https://ccg-crep.jp/contact,成功,7,0,,
株式会社Your Pro,https://yourpro.co.jp/contact-us,成功,9,0,,
株式会社ビジョン_463897,https://snsunyo.com/lp#Contact,成功,6,6,,
株式会社アドプラス,https://ad-plus.net/lp/adp_2/#form,成功,5,7,,
LBJ株式会社,https://www.lovebj.co.jp/,成功,7,0,,
株式会社コンピュータ技研,https://www.kkctl.co.jp/contact,成功,5,1,,
株式会社アドレクス,https://ad-rex.com/contact,成功,9,1,,
株式会社Qoox,https://qoox.co.jp/contact/,成功,8,0,,
GIGA株式会社,https://giga-tokyo.jp/contact/,成功,9,0,,
株式会社グラフトンノート,https://graphtone-note.co.jp/contact/,成功,5,1,,
"and,,成功,0,0,,
株式会社itoq,https://itoq.co.jp/contact,成功,5,0,,
株式会社プラセム,https://plusem.co.jp/contact/,成功,7,1,,
ドコドア株式会社,https://docodoor.com/recruit/contact_recruit/,成功,8,1,,
フレンドリーフラワー株式会社,http://friendly.co.jp/#Contact,成功,3,0,,
株式会社Liforld,https://liforld.site/company#contact,成功,4,0,,
株式会社デジタリフト,https://digitalift.co.jp/contact/post-ir/,成功,5,0,,
キタイステクノロジーズ,https://kitais.jp/contact,成功,9,0,,
瀬戸株式会社,https://sedo.co.jp/inquiry/,成功,7,0,,
株式会社Zインディペンデンス,https://www.z-idp.com/contact,成功,5,0,,
株式会社天職市場,https://ten.1049.cc/job/25474223,失敗,1,2359,,送信ボタンなし
有限会社dilight,https://dilight.jp/contact/,失敗,0,0,,送信ボタンなし
株式会社WiUs,https://wius.co.jp/digital-marketing/#contact,成功,5,0,,
ソリッドインテリジェンス株式会社,https://solid-i.co.jp/contact,失敗,0,0,,送信ボタンなし
アントプロダクション株式会社,https://ant-production.co.jp/contact,成功,5,0,,
株式会社ウェブロッサム,https://weblossom.co.jp/inquiry/,成功,0,0,,
